project_name,scene_number,scene_setting,clip_number,duration_seconds,action_class,shot_scale_hint,camera_movement,dialogue_text,dialogue_word_count,speaker,delivery,acting_intensity,micro_expression,focal_plane,rack_focus,veo_continuation_source
Buster,1,EXT. SUBURBAN BACKYARD - DAY,1,6,hold,wide,"24mm wide anamorphic lens, low-angle smooth tracking shot following bounds",He's Buster the Noodle Head Dog. He jumps around like a frog.,12,Character_Narrator,voiceover_internal,7,"bright wide playful eyes, ears fully perked forward, loose open-mouthed pant with tongue flopping sideways, subtle cheek lift in doggy grin",Midground: Buster's body and face as he bounds,Static focus on Buster tracking his leaps and tumbles,none
Buster,1,EXT. SUBURBAN BACKYARD - DAY,2,7,hold,medium,"35mm prime lens, steady handheld with gentle lateral drift","He's small, black, and white- But not very bright! He's Buster the Noodle Head Dog.",15,Character_Narrator,voiceover_internal,7,"sparkling eager eyes slightly narrowed in glee, ears bouncing with motion, broad panting smile, wet nose wrinkled in pure joy",Midground: Buster's body and face as he bounds,Static focus on Buster tracking his leaps and tumbles,extend_previous
Buster,1,EXT. SUBURBAN BACKYARD - DAY,3,5,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle slow push-in",,0,,none,4,"soft curious half-lidded eyes, one ear cocked higher, relaxed open mouth with pink tongue gently lolling, head tilted freeze",Foreground/Midground: Buster's eyes and cocked head,Static focus on Buster's face as he freezes,extend_previous
Buster,2,INT. LIVING ROOM - EVENING,1,4,dialogue,medium,"35mm prime lens, gentle handheld follow with slight push-in",It's time for bed.,4,Character_Mom,spoken_on_camera,3,"soft warm eyes, gentle raised brows, calm closed-mouth smile, relaxed jaw",Midground: Mom's eyes and gentle expression in doorway,"Static focus on Mom as she speaks, Buster soft in periphery",none
Buster,2,INT. LIVING ROOM - EVENING,2,5,action,close_up,"50mm prime lens, low-angle slow tilt down",,0,,none,5,"perked ears, focused downward glance, slight nose twitch, hesitant body tense",Foreground: Buster's hindquarters and squatting posture on rug,Rack focus from Mom's position to Buster as he begins to squat at t=0.5s,extend_previous
Buster,2,INT. LIVING ROOM - EVENING,3,2,dialogue,medium,"85mm f/1.4 portrait lens, locked tripod hold",Uh-uh.,1,Character_Mom,spoken_on_camera,5,"sharp narrowed eyes, firm pressed lips, single raised brow, kind but stern jaw set",Midground: Mom's eyes and firm mouth,Quick rack focus from Buster back to Mom's face on 'Uh-uh',extend_previous
Buster,2,INT. LIVING ROOM - EVENING,4,6,hold,close_up,"100mm macro lens, locked tripod hold",,0,,none,6,"wide frozen eyes, ears locked mid-perk, nostrils flared, completely still muzzle",Foreground: Buster's frozen body and perked ears,Static focus on Buster freezing in place,extend_previous
Buster,2,INT. LIVING ROOM - EVENING,5,5,hold,close_up,"100mm macro lens, very slow 5% push-in","Before he goes, he has to potty. Going on the floor is naughty!",13,Character_Narrator,voiceover_internal,6,"wide frozen eyes, ears locked mid-perk, nostrils flared, completely still muzzle",Midground: Mom's face while speaking,"Static focus on Mom, Buster held in soft mid-focus freeze",extend_previous
Buster,2,INT. LIVING ROOM - EVENING,6,3,dialogue,medium,"50mm prime lens, slow lateral track to Mom",A doggy goes outside.,4,Character_Mom,spoken_on_camera,4,"patient soft eyes, instructive slight head nod, gentle mouth articulation, calm forehead",Midground: Mom's eyes and mouth,Static focus on Mom as she explains,extend_previous
Buster,2,INT. LIVING ROOM - EVENING,7,7,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with slight tilt",,0,,none,5,"tilted head, deeply puzzled raised inner brows, wide questioning eyes, slack soft jaw",Foreground: Buster's eyes and tilted head,Rack focus from Mom to Buster's confused face and head tilt at t=0s,extend_previous
